dataset,batch_idx,sample_in_batch,video_path,gap_ms,offset_ms,shift_frames,gap_start_mel,gap_end_mel,gap_start_sec,gap_end_sec,pesq,stoi
lrs2,0,7,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337160680186960682/00078.mp4,160,320,8,283,299,2.83,2.99,4.643888473510742,0.9999999999999999
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,-320,-8,10,26,0.1,0.26,2.192228078842163,0.9839307286216215
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,-160,-4,10,26,0.1,0.26,2.0392777919769287,0.9791132118454288
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,-80,-2,10,26,0.1,0.26,2.801945209503174,0.9820051671746288
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,-40,-1,10,26,0.1,0.26,2.1471879482269287,0.9844330208995309
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,0,0,10,26,0.1,0.26,2.2940268516540527,0.9876642597949796
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,40,1,10,26,0.1,0.26,2.3042240142822266,0.9903915455275921
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,80,2,10,26,0.1,0.26,2.4872138500213623,0.9824985729544673
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,160,4,10,26,0.1,0.26,2.1824188232421875,0.9831741613709697
lrs2,1,0,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337230258657094880/00029.mp4,160,320,8,10,26,0.1,0.26,2.1752378940582275,0.9808675956977697
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,-320,-8,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,-160,-4,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,-80,-2,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,-40,-1,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,0,0,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,40,1,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,80,2,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,160,4,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,1,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00008.mp4,160,320,8,175,191,1.75,1.91,4.643888473510742,0.9999999999999998
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,-320,-8,137,153,1.37,1.53,3.2861459255218506,0.9472660307769069
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,-160,-4,137,153,1.37,1.53,3.2053446769714355,0.9595348666341639
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,-80,-2,137,153,1.37,1.53,2.850051164627075,0.9392966014366756
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,-40,-1,137,153,1.37,1.53,2.860639810562134,0.9492382703488005
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,0,0,137,153,1.37,1.53,3.7481040954589844,0.9779159054825548
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,40,1,137,153,1.37,1.53,3.121875762939453,0.9798211409837232
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,80,2,137,153,1.37,1.53,3.040924072265625,0.9554932172487807
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,160,4,137,153,1.37,1.53,3.5658602714538574,0.976855478796737
lrs2,1,2,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00018.mp4,160,320,8,137,153,1.37,1.53,3.021740436553955,0.9631473303175454
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,-320,-8,28,44,0.28,0.44,2.558948278427124,0.941294192967006
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,-160,-4,28,44,0.28,0.44,2.4539592266082764,0.9266171424951964
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,-80,-2,28,44,0.28,0.44,2.813032388687134,0.9514900809136715
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,-40,-1,28,44,0.28,0.44,3.778179407119751,0.9779700661449883
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,0,0,28,44,0.28,0.44,3.7498133182525635,0.9817078300257167
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,40,1,28,44,0.28,0.44,3.5858805179595947,0.9713494167973491
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,80,2,28,44,0.28,0.44,2.6691529750823975,0.938552593204664
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,160,4,28,44,0.28,0.44,2.359326124191284,0.9172630733032384
lrs2,1,3,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00019.mp4,160,320,8,28,44,0.28,0.44,3.1942484378814697,0.9526682630099648
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,-320,-8,152,168,1.52,1.68,4.465603351593018,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,-160,-4,152,168,1.52,1.68,4.454677104949951,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,-80,-2,152,168,1.52,1.68,4.454212188720703,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,-40,-1,152,168,1.52,1.68,4.458072662353516,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,0,0,152,168,1.52,1.68,4.457916259765625,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,40,1,152,168,1.52,1.68,4.426837921142578,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,80,2,152,168,1.52,1.68,4.440718650817871,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,160,4,152,168,1.52,1.68,4.427998065948486,0.9999999999999998
lrs2,1,4,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6337531765361335111/00022.mp4,160,320,8,152,168,1.52,1.68,4.386720180511475,0.9999999999999998
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,-320,-8,15,31,0.15,0.31,2.819222927093506,0.9408304402937107
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,-160,-4,15,31,0.15,0.31,2.0065197944641113,0.9188563327330851
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,-80,-2,15,31,0.15,0.31,2.5754165649414062,0.9526747506080863
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,-40,-1,15,31,0.15,0.31,3.2038064002990723,0.9614667845568293
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,0,0,15,31,0.15,0.31,3.3649580478668213,0.972006685499722
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,40,1,15,31,0.15,0.31,2.4327094554901123,0.9189355190516573
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,80,2,15,31,0.15,0.31,1.9809104204177856,0.9079424622249632
lrs2,1,5,/home/nabizadz/Projects/Mahsa/datasets/lrs2/lrs2_v1/mvlrs_v1/main/6331559613336179781/00039.mp4,160,160,4,15,31,0.15,0.31,2.783264398574829,0.9424940033344277
