method,gap_ms,error_type,energy_bin,energy_low_db,energy_high_db,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_fraction,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,500,frequency,-20_to_-10,-20.0,-10.0,27.53968872767908,0.48065824327236795,0.22365402592557526,76654,0.3007122722924489,605031.3748574257,0.44512120680731215,0.20379252224981442
global_local_affinity,500,frequency,-10_to_0,-10.0,inf,14.157423522040235,0.24709365405889408,0.09169889320891259,17249,0.17544785214841183,353000.07675743103,0.23074975885775278,0.08550261948711875
global_local_affinity,500,temporal,<-60,-inf,-60.0,89.85800273988309,1.5683180070770457,0.9982898649827883,4223445,0.02072486026196236,43194.72121806067,1.5656838064468943,0.9961507355703049
global_local_affinity,500,temporal,-60_to_-40,-60.0,-40.0,89.63147818044901,1.5643644076782912,0.9949857463451496,1642115,0.13128604863766485,273626.1764395479,1.562501508821657,0.9935014913239656
global_local_affinity,500,temporal,-40_to_-20,-40.0,-20.0,86.00350570916886,1.5010443428827374,0.9496094044694978,593352,0.37033321989020224,771847.9154382199,1.454197131358886,0.9164546703140177
global_local_affinity,500,temporal,-20_to_-10,-20.0,-10.0,81.95631482074172,1.4304075364229694,0.8992006375762933,74535,0.28411285708716677,592147.5706579685,1.440586124643139,0.9061282357065737
global_local_affinity,500,temporal,-10_to_0,-10.0,inf,90.85979728923053,1.5858026203916913,1.0147685438574692,19025,0.19354301412300376,403382.0461549759,1.5907174939650182,1.0199875116385517
global_local_affinity,500,unit,<-60,-inf,-60.0,90.02361188527802,1.571208431935601,1.0002941753108925,4232486,0.020272068461266918,41431.076128491484,1.5716149444292744,1.0006349676766924
global_local_affinity,500,unit,-60_to_-40,-60.0,-40.0,89.91857633279389,1.5693752157131016,0.9987347703814027,1533195,0.12491723859110748,255299.8295027297,1.5688404224483021,0.9983780588315133
global_local_affinity,500,unit,-40_to_-20,-40.0,-20.0,89.44698766019287,1.5611444406611046,0.9932946476880262,565797,0.3654081655864388,746803.5911239237,1.5592437117066476,0.9922708395538029
global_local_affinity,500,unit,-20_to_-10,-20.0,-10.0,89.7983422834892,1.5672767356797297,0.9990713845189754,74243,0.28850725559679014,589637.2189691067,1.5682813724990698,0.9997164161476045
global_local_affinity,500,unit,-10_to_0,-10.0,inf,89.76285808552379,1.5666574195928038,0.9971925523791968,19279,0.20089527176439667,410580.07051563263,1.5637642753124805,0.9953344252017838
global_local_affinity,1000,frequency,<-60,-inf,-60.0,43.53374051458506,0.7598071076883599,0.3816113867496051,7705576,0.0195231953980393,87444.07635495233,0.7418004616972637,0.3671749160175691
global_local_affinity,1000,frequency,-60_to_-40,-60.0,-40.0,39.990190819593636,0.6979604983027187,0.3362295876453352,3576343,0.13684434018144326,612923.5858987998,0.6792978698448661,0.3239209515180591
global_local_affinity,1000,frequency,-40_to_-20,-40.0,-20.0,34.940363299835376,0.609824381425118,0.2836273569865814,1308421,0.38756101314040636,1735879.5081596076,0.5991903636004138,0.28181356061352525
global_local_affinity,1000,frequency,-20_to_-10,-20.0,-10.0,27.73807150942235,0.48412067599305336,0.22626595843202182,175033,0.30329451847675926,1358451.2417666912,0.44735927745296306,0.205412077549411
global_local_affinity,1000,frequency,-10_to_0,-10.0,inf,15.53962325337695,0.2712175902909008,0.10454635361985887,34627,0.15277693280335178,684285.4105057716,0.25166490648416107,0.0958477630813406
global_local_affinity,1000,temporal,<-60,-inf,-60.0,89.82067402645534,1.5676664981221982,0.9978358110496582,7688743,0.019588601604957,89812.94646193954,1.5656264490292455,0.9962259199992822
global_local_affinity,1000,temporal,-60_to_-40,-60.0,-40.0,89.7642833434751,1.5666822950367445,0.9969055383501444,3744351,0.13965462780491197,640310.8227506466,1.5657589894514654,0.9961539964291627
global_local_affinity,1000,temporal,-40_to_-20,-40.0,-20.0,86.44596043560604,1.508766634650077,0.9550815735911149,1338065,0.3816526009644666,1749861.7465785593,1.4684372508431665,0.9267922821865199
