method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,500,temporal,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.43336420108842,1.5609066664442213,0.9928698253553665,642500,197235.09867367957,1.491107299971022,0.943076067033785
global_local_affinity,500,temporal,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.35862115199953,1.55960215414464,0.9920247789541571,642500,194879.19141589233,1.4803297840008407,0.9365459633730555
global_local_affinity,500,temporal,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.30854442866723,1.5587281504438812,0.9914427835137928,642500,201797.7060052741,1.486345376342795,0.9412734210026483
global_local_affinity,500,temporal,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.6218390023445,1.5641961722831814,0.995416023902856,514000,168724.29230300788,1.502622101972799,0.9513609791290786
global_local_affinity,500,temporal,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.39921644698465,1.560310675702949,0.9925285538991602,642500,219283.09634697382,1.5001465172081778,0.9507475995660007
global_local_affinity,500,temporal,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.39142584229523,1.560174704000397,0.9921859051417747,642500,212535.53210408168,1.516139314438,0.9634286420282584
global_local_affinity,500,temporal,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.28968477179394,1.558398987335646,0.9910302304372713,642500,208613.46321595207,1.4845903499198108,0.9373597101424123
global_local_affinity,500,temporal,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.29555839427027,1.558501501386877,0.9909973403516911,642500,208263.06980000925,1.488191393183829,0.9408475742440676
global_local_affinity,500,temporal,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.25757565872271,1.557838577592658,0.9903409317947044,770486,242277.56546329288,1.4846177327626409,0.938519088453295
global_local_affinity,500,unit,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.77023367218862,1.5667861478643716,0.9970895911502468,642500,191651.44329316696,1.5552157173481074,0.991263031636945
global_local_affinity,500,unit,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.9325008168508,1.5696182438065363,0.9993006175154378,642500,196757.02629556894,1.5590166708057136,0.99250863692372
global_local_affinity,500,unit,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.14732338157974,1.5733676048686351,1.0019727717481235,642500,195026.3135759281,1.5763156541707295,1.0060089292301022
global_local_affinity,500,unit,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.94140878873806,1.5697737172456443,0.999210737156868,642500,200850.58087881765,1.5774399523486973,1.005318472043879
global_local_affinity,500,unit,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.93919505949252,1.5697350803815617,0.9991822742285895,642500,211232.18553138367,1.555829385930831,0.9893811031220898
global_local_affinity,500,unit,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.71186928783958,1.5657674971915811,0.996198059438082,642500,218893.01972967712,1.5435259092715297,0.9807505736268828
global_local_affinity,500,unit,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.22961333037176,1.5748038354163534,1.0031922271930753,642500,211879.30824878422,1.588707002292533,1.0140637207303322
global_local_affinity,500,unit,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.94396761936964,1.5698183772651662,0.9991603955679831,642500,209004.40086687118,1.5489516695760135,0.9829663061856236
global_local_affinity,500,unit,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.9512192234236,1.5699449416319589,0.9991319918158453,642500,207872.51439762206,1.5779148051103276,1.0056417739651589
global_local_affinity,500,unit,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.87650128518665,1.5686408675994221,0.9983836111599369,642500,200584.99342206446,1.5600861076830288,0.9926700636475331
global_local_affinity,1000,frequency,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.994515385943224,0.7329425612641266,0.362456916479161,1280000,485472.1165072321,0.5106522396883427,0.2354393468395083
global_local_affinity,1000,frequency,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,42.01866284038006,0.7333640138500247,0.36380161704905334,1280000,497875.12205914105,0.5113775716587702,0.23591183089964543
global_local_affinity,1000,frequency,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.68397296946403,0.727522573629465,0.35962356503084303,1280000,513404.10706713377,0.5054233184517355,0.2331959844658835
global_local_affinity,1000,frequency,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.588174749447184,0.7258505792726211,0.3585824328451883,1280000,506107.76136359014,0.5156537382847022,0.2391582918689262
global_local_affinity,1000,frequency,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.44593297415829,0.7233679919599479,0.3569975142860785,1280000,522733.5666863089,0.5130802148697513,0.23795454208000877
global_local_affinity,1000,frequency,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.48518768775544,0.7240531159591457,0.35789116737074217,1280000,467165.74130813626,0.5172938383926212,0.24064524875201945
