method,gap_ms,error_type,depth_bin,depth_low,depth_high,depth_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,500,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,90.08551105955492,1.5722887763309987,1.0012014821749717,1285000,412729.88912760187,1.5832240130891262,1.0098079391044448
global_local_affinity,500,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.82553217366602,1.567751288786571,0.9976901668333358,1285000,430125.20526106074,1.5495680807894747,0.9849889804564921
global_local_affinity,1000,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.28377778346944,0.7205378499832282,0.3544975112559507,2560000,816403.7368785499,0.5162424777201456,0.23766828656184008
global_local_affinity,1000,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.40278537946744,0.7226149243682766,0.3567959685301641,2560000,867381.4220783308,0.5128826020008044,0.23727665648936538
global_local_affinity,1000,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.297331876259165,0.7207744135295299,0.35488924732508603,2560000,889982.1185994865,0.5100764007242929,0.2356128039382181
global_local_affinity,1000,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.41814564538215,0.7228830115824701,0.35658230759848375,2560000,915317.2371350104,0.5147070024018409,0.23830874199607902
global_local_affinity,1000,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.46556033095686,0.7237105539595468,0.35744434082841037,2560000,989899.3079944452,0.5150687611196151,0.23922437424063467
global_local_affinity,1000,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.38374942372776,1.5600407252216337,0.9922590425750183,2826743,913676.979409873,1.4936145263440594,0.9458557426194003
global_local_affinity,1000,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.16743089036004,1.5562652545812816,0.9893706526902399,2570000,880230.2619262693,1.4735773584972036,0.9308721006355306
global_local_affinity,1000,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.34835420475086,1.5594229621110225,0.9917619642695564,2570000,903985.8193035255,1.493411347288598,0.9459046018463867
global_local_affinity,1000,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.446248169268,1.561131534109677,0.9931886815403222,2570000,932070.6163800647,1.496205789687447,0.9483621730451631
global_local_affinity,1000,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.4201710129914,1.560676401873093,0.9927173486321085,2441500,954995.8965728979,1.5037332626166642,0.9530864904393191
global_local_affinity,1000,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.98053809275257,1.5704566524347112,0.9997462474887241,2570000,829242.4242320738,1.561492988235308,0.9943254348597639
global_local_affinity,1000,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,90.03175986905067,1.5713506410798328,1.000504513638284,2570000,880473.8403736688,1.567458629798829,0.9971460966740534
global_local_affinity,1000,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.96939961985036,1.5702622494089233,0.9996129999820824,2570000,903070.564110706,1.5638509581736435,0.9959238324356922
global_local_affinity,1000,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.88740288453619,1.5688311364018046,0.998490750692118,2570000,928698.2474282257,1.55331330920574,0.9869788413925872
global_local_affinity,1000,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.98732075238416,1.5705750321773246,0.9998847068773401,2570000,1003425.4313681968,1.572698255397173,1.0020733441127099
temporal_self_cross_attention,160,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.27523623659669,0.7203887718670854,0.35395711002824826,512000,147860.0775948903,0.5579960276743631,0.25009981178816904
temporal_self_cross_attention,160,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.21774069731082,0.7193852854013374,0.35303782602678985,384000,112033.14974426026,0.563617945364246,0.25521724732280177
temporal_self_cross_attention,160,frequency,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,41.29888452528283,0.7208015123671208,0.3538807050376199,384000,110017.49795942595,0.5554475583555069,0.24942137571070952
temporal_self_cross_attention,160,frequency,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,41.32647331019216,0.7212830275004131,0.35448123088059946,256000,73584.37067312996,0.5658000972307051,0.2562090598173616
temporal_self_cross_attention,160,frequency,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,41.1382229271158,0.7179974384975899,0.3524646262250608,512000,149871.89537847362,0.5576765608163565,0.2512663069653961
temporal_self_cross_attention,160,temporal,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.51722600233985,1.5623703309927117,0.9938759720634285,513486,149747.4887710508,1.5407164162081377,0.9813008896105613
temporal_self_cross_attention,160,temporal,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.18163131012359,1.556513098661321,0.9895799439542489,514000,149894.69034257354,1.4997401551894922,0.9520348038004351
temporal_self_cross_attention,160,temporal,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.16285556810706,1.5561854001436275,0.9895524920802636,257000,75484.36568955201,1.505867398687278,0.9552753857579651
temporal_self_cross_attention,160,temporal,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.4801149389859,1.561722620748269,0.9937255688840777,514000,150751.35293670034,1.516950620861778,0.9643520354930045
temporal_self_cross_attention,160,temporal,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.59261365459632,1.5636860937399355,0.9950267709920378,385500,114362.94054256051,1.5132106845778346,0.9633089164389147
temporal_self_cross_attention,160,unit,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,89.8833583476619,1.5687605459166303,0.9985092361256306,514000,150363.1728795281,1.5693449196831226,0.9993591301108428
temporal_self_cross_attention,160,unit,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,89.8526155925632,1.5682239836190235,0.9981227244740176,385500,113871.78452069784,1.5511215501540936,0.9853901203255601
temporal_self_cross_attention,160,unit,2,0.4,0.6,0=nearest observed boundary; 1=center of gap,89.95557461605358,1.5700209575735689,0.9994524203073499,385500,111884.01281653202,1.5691264433969205,0.998511342507677
temporal_self_cross_attention,160,unit,3,0.6,0.8,0=nearest observed boundary; 1=center of gap,89.81570785684256,1.5675798221112425,0.9976034919726245,257000,74843.93926632738,1.5904377706381727,1.0155540529916633
temporal_self_cross_attention,160,unit,4,0.8,1.0,0=nearest observed boundary; 1=center of gap,89.99289829816566,1.5706723787153922,1.0000849444003421,514000,152296.01320255361,1.567220868101926,0.9977752780837748
temporal_self_cross_attention,500,frequency,0,0.0,0.2,0=nearest observed boundary; 1=center of gap,41.24979847450448,0.7199447991642375,0.35348083421401677,1280000,385694.4396315071,0.5626713943639933,0.2528974801208334
temporal_self_cross_attention,500,frequency,1,0.2,0.4,0=nearest observed boundary; 1=center of gap,41.38891885175393,0.7223729078038569,0.35569176349020565,1280000,398230.21872474725,0.5624735231749963,0.25424136044110945
